,ID,Timestamp,Age,Primary streaming service,Primary streaming service Indicator,Hours per day,While working,While working Indicator,Instrumentalist,Instrumentalist Indicator,Composer,Composer Indicator,Fav genre,Fav genre Indicator,Exploratory,Exploratory Indicator,Foreign languages,Foreign languages Indicator,BPM,Frequency [Classical],Classical F Indicator,Frequency [Country],Country F Indicator,Frequency [EDM],EDM F Indicator,Frequency [Folk],Folk F Indicator,Frequency [Gospel],Gospel F Indicator,Frequency [Hip hop],Hip hop F Indicator,Frequency [Jazz],Jazz F Indicator,Frequency [K pop],K pop F Indicator,Frequency [Latin],Latin F Indicator,Frequency [Lofi],Lofi F Indicator,Frequency [Metal],Metal F Indicator,Frequency [Pop],Pop F Indicator,Frequency [R&B],R&B F Indicator,Frequency [Rap],Rap F Indicator,Frequency [Rock],Rock F Indicator,Frequency [Video game music],Video game music F Indicator,Anxiety,Depression,Insomnia,OCD,Music effects,Music Effects Number,Permissions,spec_cluster_habits,spec_cluster_mental,spec_cluster_all,prim_habits_cluster,prim_mental_cluster,prim_all_cluster,gmm_cluster_habits,gmm_cluster_mental,gmm_cluster_all,fcm_habits,fcm_mental,fcm_all,kmeans_habits,kmeans_mental,kmeans_all,spec_kmodes_habits,spec_kmodes_genre,spec_kmodes_all,SVD_habits,SVD_mental,SVD_all,PCA_habits,PCA_mental,PCA_all,ICA_habits,ICA_mental,ICA_all,MDS_habits,MDS_mental,MDS_all
0,340,8/29/2022 8:37:30,35.0,Spotify,2,3.0,No,0.0,Yes,1.0,No,0.0,Folk,14,Yes,1,No,0.0,55.0,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Rarely,1,Never,0,Never,0,Sometimes,2,Sometimes,2,8.0,2.0,2.0,8.0,No effect,0.0,I understand.,0,5,0,0,4,6,5,2,4,1,5,3,3,7,7,3,4,1,"(np.float64(-1.6833701052082441), np.float64(-2.1583136107671113))","(np.float64(0.4393514351104381), np.float64(2.199743134236659))","(np.float64(0.1554349243263405), np.float64(-1.3159111106491928))","(np.float64(-1.6833701052082433), np.float64(-2.1583136107671095))","(np.float64(0.4393514351104396), np.float64(2.1997431342366562))","(np.float64(0.1554349243263405), np.float64(-1.3159111106491928))","(np.float64(-1.299491603758968), np.float64(-2.26122753670009))","(np.float64(-1.2321203150804956), np.float64(2.087464307633626))","(np.float64(0.44154573763771066), np.float64(-1.2207546368940223))","(np.float64(1.258287335595399), np.float64(2.818972120045402))","(np.float64(0.6438280413887695), np.float64(2.28236391697594))","(np.float64(1.5981145944369717), np.float64(3.0530569784552264))"
1,525,09/02/2022 9:15,28.0,Spotify,2,3.0,No,0.0,Yes,1.0,Yes,1.0,Metal,13,Yes,1,Yes,1.0,55.0,Very frequently,3,Never,0,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Very frequently,3,Rarely,1,Sometimes,2,Never,0,Very frequently,3,Very frequently,3,8.0,8.0,5.0,2.0,Improve,1.0,I understand.,0,6,7,0,3,0,5,6,4,1,3,2,3,0,5,0,2,3,"(np.float64(-1.521168229081679), np.float64(-1.9962776381417493))","(np.float64(1.1145028330112199), np.float64(-0.7188577056381498))","(np.float64(0.8890455824534991), np.float64(-0.7763130758408097))","(np.float64(-1.5211682290816766), np.float64(-1.9962776381417526))","(np.float64(1.1145028330112197), np.float64(-0.7188577056381528))","(np.float64(0.8890455824534991), np.float64(-0.7763130758408097))","(np.float64(-1.1706765736695472), np.float64(-2.0889993028079163))","(np.float64(1.104270075150701), np.float64(-0.13572474795402467))","(np.float64(-0.24111264841342436), np.float64(-0.950233837309478))","(np.float64(1.2747883324786355), np.float64(2.638638602041076))","(np.float64(-1.3092065897176952), np.float64(-0.06690254408376842))","(np.float64(0.34703109464414494), np.float64(2.525476783964689))"
2,640,09/12/2022 22:26,30.0,I do not use a streaming service.,6,0.0,No,0.0,No,0.0,No,0.0,Metal,13,No,0,No,0.0,55.0,Rarely,1,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Rarely,1,Rarely,1,Rarely,1,10.0,10.0,10.0,9.0,Improve,1.0,I understand.,0,0,0,0,0,4,5,0,0,1,2,2,3,2,7,2,5,1,"(np.float64(-2.232059989876092), np.float64(-2.041646455127045))","(np.float64(3.6395181891574806), np.float64(0.621567356112294))","(np.float64(3.1064345394209756), np.float64(-0.8966419928225269))","(np.float64(-2.2320599898760913), np.float64(-2.0416464551270477))","(np.float64(3.6395181891574815), np.float64(0.6215673561122956))","(np.float64(3.1064345394209756), np.float64(-0.8966419928225269))","(np.float64(-1.7873774694766582), np.float64(-2.1830324526040155))","(np.float64(1.6123508963878024), np.float64(2.1167284458288838))","(np.float64(-1.586722175806518), np.float64(-1.697540876758335))","(np.float64(1.5930450042684683), np.float64(2.7596678470544918))","(np.float64(-3.214610494584217), np.float64(2.1570985529668683))","(np.float64(-1.6563618053642377), np.float64(4.452472727280996))"
3,430,8/30/2022 18:15:39,73.0,Pandora,4,3.0,Yes,1.0,No,0.0,No,0.0,R&B,5,Yes,1,Yes,1.0,55.0,Sometimes,2,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,Sometimes,2,Rarely,1,Very frequently,3,Never,0,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,Sometimes,2,Never,0,5.0,4.0,0.0,1.0,Improve,1.0,I understand.,1,7,4,5,1,3,1,4,5,3,1,4,1,1,4,5,1,9,"(np.float64(-0.8725191540412088), np.float64(-3.303953940395999))","(np.float64(-1.1111747328749322), np.float64(-0.0030145221301545546))","(np.float64(-1.9855936280247237), np.float64(1.261151580332035))","(np.float64(-0.8725191540412204), np.float64(-3.303953940395969))","(np.float64(-1.1111747328749322), np.float64(-0.0030145221301585983))","(np.float64(-1.9855936280247237), np.float64(1.261151580332035))","(np.float64(-0.5021723454909386), np.float64(-3.344166860440621))","(np.float64(-0.6176713873651039), np.float64(-0.4852329994879911))","(np.float64(0.7322231712783055), np.float64(1.6998744064871036))","(np.float64(-1.181541245635388), np.float64(4.527305317706323))","(np.float64(1.0325704127891702), np.float64(-0.4626820722761495))","(np.float64(4.548241682438405), np.float64(2.0255351180312644))"
4,568,09/04/2022 13:07,68.0,Pandora,4,1.0,Yes,1.0,No,0.0,No,0.0,Gospel,16,No,0,No,0.0,55.0,Very frequently,3,Never,0,Never,0,Sometimes,2,Very frequently,3,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,10.0,10.0,10.0,0.0,Improve,1.0,I understand.,1,2,7,5,3,8,1,1,5,3,3,2,1,0,5,2,4,1,"(np.float64(-1.1996929161705923), np.float64(-3.187595843153726))","(np.float64(2.3445932361416326), np.float64(-2.086942559770865))","(np.float64(1.2600999983897345), np.float64(1.9679605619310154))","(np.float64(-1.1996929161706031), np.float64(-3.1875958431537))","(np.float64(2.3445932361416317), np.float64(-2.086942559770865))","(np.float64(1.2600999983897345), np.float64(1.9679605619310154))","(np.float64(-0.7967593440433459), np.float64(-3.251030082021292))","(np.float64(2.7089635724848473), np.float64(-0.7810127399808457))","(np.float64(-1.5992808805918926), np.float64(1.395008091357786))","(np.float64(-0.8311131324325909), np.float64(4.317865350590154))","(np.float64(-3.2055608471469466), np.float64(-0.6642028271835007))","(np.float64(0.9724778195540881), np.float64(5.427183758037938))"
5,373,8/29/2022 15:05:22,18.0,Spotify,2,2.0,Yes,1.0,No,0.0,No,0.0,Hip hop,9,Yes,1,Yes,1.0,20.0,Rarely,1,Never,0,Rarely,1,Never,0,Rarely,1,Very frequently,3,Rarely,1,Very frequently,3,Sometimes,2,Never,0,Never,0,Sometimes,2,Very frequently,3,Very frequently,3,Never,0,Never,0,10.0,7.0,2.0,0.0,Improve,1.0,I understand.,2,6,2,1,7,0,0,1,1,2,0,3,4,3,5,5,0,1,"(np.float64(0.18372084041294615), np.float64(-3.1297541479509965))","(np.float64(0.5973728353377551), np.float64(-0.8415007918869307))","(np.float64(0.44961386377188667), np.float64(-2.3530290583526785))","(np.float64(0.18372084041294337), np.float64(-3.1297541479510094))","(np.float64(0.5973728353377548), np.float64(-0.8415007918869404))","(np.float64(0.44961386377188667), np.float64(-2.3530290583526785))","(np.float64(0.4057443294988705), np.float64(-3.0983034089241026))","(np.float64(0.8982254484572655), np.float64(-0.4660816160401167))","(np.float64(0.6815460076848997), np.float64(-2.2324094155364516))","(np.float64(-2.5146809266084635), np.float64(2.3945957885372633))","(np.float64(-1.282315487576512), np.float64(-1.1950389117736466))","(np.float64(1.72944857166095), np.float64(3.664377207996024))"
6,422,8/30/2022 13:07:20,14.0,Spotify,2,5.0,Yes,1.0,Yes,1.0,No,0.0,Classical,12,Yes,1,Yes,1.0,40.0,Very frequently,3,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Very frequently,3,3.0,0.0,2.0,3.0,Improve,1.0,I understand.,2,1,1,1,8,2,2,2,6,2,4,1,4,5,2,0,1,4,"(np.float64(0.9390629632037455), np.float64(-2.409947024006257))","(np.float64(-1.6503806400600556), np.float64(0.8880732796560944))","(np.float64(-1.4174548284195418), np.float64(-1.9664905685239615))","(np.float64(0.9390629632037446), np.float64(-2.40994702400627))","(np.float64(-1.6503806400600554), np.float64(0.8880732796560986))","(np.float64(-1.4174548284195418), np.float64(-1.9664905685239615))","(np.float64(1.0083366918484697), np.float64(-2.330824082653411))","(np.float64(-1.5167555293531794), np.float64(0.04886743333237059))","(np.float64(1.6976679887460748), np.float64(-1.3482931148784143))","(np.float64(-2.5296908809699383), np.float64(1.4631951613589258))","(np.float64(2.0446792121794033), np.float64(0.12488821494241047))","(np.float64(3.1187578828691946), np.float64(1.7676230401383108))"
7,215,8/28/2022 21:48:12,19.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,Rock,2,Yes,1,Yes,1.0,52.0,Never,0,Never,0,Rarely,1,Very frequently,3,Never,0,Rarely,1,Rarely,1,Never,0,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Rarely,1,4.0,2.0,0.0,0.0,Improve,1.0,I understand.,2,1,1,1,8,2,2,1,1,2,1,1,4,5,2,1,8,7,"(np.float64(1.0435847840850843), np.float64(-2.1491106739822747))","(np.float64(-1.819000794960483), np.float64(-0.0533651003363945))","(np.float64(-1.5896257161097747), np.float64(-1.4360634669848413))","(np.float64(1.0435847840850832), np.float64(-2.1491106739822836))","(np.float64(-1.819000794960483), np.float64(-0.05336510033639621))","(np.float64(-1.5896257161097747), np.float64(-1.4360634669848413))","(np.float64(1.0790771265743297), np.float64(-2.0643596896070404))","(np.float64(-0.9786110583461058), np.float64(-0.8360867573132831))","(np.float64(1.5885820367480217), np.float64(-0.8246235769211049))","(np.float64(-2.294536632488357), np.float64(1.1589806059024301))","(np.float64(1.7091997673612667), np.float64(-0.6915924462138109))","(np.float64(3.000228822829482), np.float64(1.023772946474373))"
8,59,8/28/2022 13:09:53,23.0,Spotify,2,7.0,Yes,1.0,No,0.0,No,0.0,Folk,14,Yes,1,Yes,1.0,55.0,Rarely,1,Very frequently,3,Never,0,Very frequently,3,Very frequently,3,Sometimes,2,Rarely,1,Never,0,Rarely,1,Never,0,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,6.0,4.0,2.0,3.0,Improve,1.0,I understand.,2,5,1,1,1,2,2,6,6,2,5,4,4,1,6,5,0,2,"(np.float64(1.172130165588117), np.float64(-2.147790369520302))","(np.float64(-0.320893663623001), np.float64(0.4012676165344359))","(np.float64(-0.14565038011698211), np.float64(-1.059714986532393))","(np.float64(1.1721301655881153), np.float64(-2.1477903695203073))","(np.float64(-0.32089366362300065), np.float64(0.4012676165344337))","(np.float64(-0.14565038011698211), np.float64(-1.059714986532393))","(np.float64(1.1911304809517698), np.float64(-2.0541984124892174))","(np.float64(-0.44841474286924016), np.float64(0.2065969994987023))","(np.float64(0.525951782399795), np.float64(-0.9049442778487466))","(np.float64(-2.3804663389123277), np.float64(1.0786042958908941))","(np.float64(0.4536608518851833), np.float64(0.2482225784077389))","(np.float64(1.5862300929311257), np.float64(2.0527522850780593))"
9,428,8/30/2022 17:33:13,31.0,I do not use a streaming service.,6,4.0,Yes,1.0,Yes,1.0,No,0.0,Classical,12,Yes,1,Yes,1.0,55.0,Very frequently,3,Rarely,1,Never,0,Rarely,1,Rarely,1,Never,0,Sometimes,2,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,8.0,8.0,9.0,3.0,Improve,1.0,I understand.,2,2,7,1,3,0,2,6,4,2,6,2,4,0,5,7,5,3,"(np.float64(0.32220822525664755), np.float64(-2.3320471630416217))","(np.float64(1.8602314146375167), np.float64(-0.8418986127053711))","(np.float64(1.610020195995186), np.float64(-0.06697938096420655))","(np.float64(0.32220822525664367), np.float64(-2.332047163041622))","(np.float64(1.8602314146375165), np.float64(-0.8418986127053683))","(np.float64(1.610020195995186), np.float64(-0.06697938096420655))","(np.float64(0.46401670221086966), np.float64(-2.2958557627643232))","(np.float64(1.6027814453962592), np.float64(0.08209244891363264))","(np.float64(-0.985388223644509), np.float64(-0.5243902251871939))","(np.float64(-1.6026379286745784), np.float64(1.7329230027843836))","(np.float64(-2.2266731060198808), np.float64(0.197716619139459))","(np.float64(-0.4497035113279741), np.float64(3.2099235579228176))"
