,ID,Timestamp,Age,Primary streaming service,Primary streaming service Indicator,Hours per day,While working,While working Indicator,Instrumentalist,Instrumentalist Indicator,Composer,Composer Indicator,Fav genre,Fav genre Indicator,Exploratory,Exploratory Indicator,Foreign languages,Foreign languages Indicator,BPM,Frequency [Classical],Classical F Indicator,Frequency [Country],Country F Indicator,Frequency [EDM],EDM F Indicator,Frequency [Folk],Folk F Indicator,Frequency [Gospel],Gospel F Indicator,Frequency [Hip hop],Hip hop F Indicator,Frequency [Jazz],Jazz F Indicator,Frequency [K pop],K pop F Indicator,Frequency [Latin],Latin F Indicator,Frequency [Lofi],Lofi F Indicator,Frequency [Metal],Metal F Indicator,Frequency [Pop],Pop F Indicator,Frequency [R&B],R&B F Indicator,Frequency [Rap],Rap F Indicator,Frequency [Rock],Rock F Indicator,Frequency [Video game music],Video game music F Indicator,Anxiety,Depression,Insomnia,OCD,Music effects,Music Effects Number,Permissions,spec_cluster_habits,spec_cluster_mental,spec_cluster_all,prim_habits_cluster,prim_mental_cluster,prim_all_cluster,gmm_cluster_habits,gmm_cluster_mental,gmm_cluster_all,fcm_habits,fcm_mental,fcm_all,kmeans_habits,kmeans_mental,kmeans_all,spec_kmodes_habits,spec_kmodes_genre,spec_kmodes_all,SVD_habits,SVD_mental,SVD_all,PCA_habits,PCA_mental,PCA_all,ICA_habits,ICA_mental,ICA_all,MDS_habits,MDS_mental,MDS_all,t-SNE1,t-SNE2
0,340,8/29/2022 8:37:30,35.0,Spotify,2,3.0,No,0.0,Yes,1.0,No,0.0,Folk,14,Yes,1,No,0.0,55.0,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,Rarely,1,Never,0,Never,0,Rarely,1,Never,0,Rarely,1,Never,0,Never,0,Sometimes,2,Sometimes,2,8.0,2.0,2.0,8.0,No effect,0.0,I understand.,0,3,2,2,0,0,3,2,0,0,2,3,3,2,0,1,0,0,"(-1.6833701052082493, -2.158313610767105)","(0.4393514351104381, 2.1997431342366576)","(0.1554349243263391, -1.315911110649156)","(-1.6833701052082488, -2.158313610767107)","(0.4393514351104384, 2.199743134236658)","(0.1554349243263391, -1.315911110649156)","(-1.299491603758966, -2.2612275367000922)","(-1.2321203150805016, 2.087464307633624)","(0.4415457376377156, -1.220754636894025)","(1.258287335595393, 2.818972120045405)","(0.6438280413887558, 2.282363916975945)","(1.5981145944369919, 3.05305697845522)",-9.644838,-8.496108
1,525,09/02/2022 9:15,28.0,Spotify,2,3.0,No,0.0,Yes,1.0,Yes,1.0,Metal,13,Yes,1,Yes,1.0,55.0,Very frequently,3,Never,0,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Very frequently,3,Rarely,1,Sometimes,2,Never,0,Very frequently,3,Very frequently,3,8.0,8.0,5.0,2.0,Improve,1.0,I understand.,0,1,0,2,3,0,3,0,3,0,0,2,3,0,3,0,1,2,"(-1.5211682290816824, -1.996277638141747)","(1.11450283301122, -0.7188577056381502)","(0.8890455824534996, -0.7763130758407801)","(-1.5211682290816826, -1.9962776381417429)","(1.11450283301122, -0.7188577056381497)","(0.8890455824534996, -0.7763130758407801)","(-1.1706765736695457, -2.0889993028079177)","(1.1042700751507004, -0.135724747954021)","(-0.24111264841342106, -0.9502338373094799)","(1.2747883324786313, 2.6386386020410786)","(-1.3092065897176957, -0.0669025440837768)","(0.34703109464416193, 2.5254767839646894)",9.162058,4.74174
2,640,09/12/2022 22:26,30.0,I do not use a streaming service.,6,0.0,No,0.0,No,0.0,No,0.0,Metal,13,No,0,No,0.0,55.0,Rarely,1,Never,0,Rarely,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Rarely,1,Rarely,1,Rarely,1,10.0,10.0,10.0,9.0,Improve,1.0,I understand.,0,3,2,2,1,0,3,2,0,0,2,2,3,2,0,2,0,0,"(-2.232059989876096, -2.0416464551270415)","(3.6395181891574815, 0.621567356112294)","(3.1064345394209756, -0.8966419928224781)","(-2.232059989876094, -2.041646455127038)","(3.639518189157481, 0.6215673561122925)","(3.1064345394209756, -0.8966419928224781)","(-1.7873774694766569, -2.183032452604017)","(1.6123508963877984, 2.1167284458288855)","(-1.586722175806514, -1.6975408767583373)","(1.5930450042684643, 2.7596678470544957)","(-3.214610494584229, 2.157098552966851)","(-1.6563618053642137, 4.452472727281008)",34.084217,8.497511
3,430,8/30/2022 18:15:39,73.0,Pandora,4,3.0,Yes,1.0,No,0.0,No,0.0,R&B,5,Yes,1,Yes,1.0,55.0,Sometimes,2,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,Sometimes,2,Rarely,1,Very frequently,3,Never,0,Rarely,1,Sometimes,2,Very frequently,3,Sometimes,2,Sometimes,2,Never,0,5.0,4.0,0.0,1.0,Improve,1.0,I understand.,1,0,1,1,0,2,2,1,1,3,3,1,1,1,1,3,2,1,"(-0.8725191540412252, -3.303953940395978)","(-1.1111747328749324, -0.0030145221301553617)","(-1.9855936280247244, 1.261151580332092)","(-0.8725191540412172, -3.3039539403960094)","(-1.1111747328749322, -0.0030145221301542307)","(-1.9855936280247244, 1.261151580332092)","(-0.5021723454909325, -3.3441668604406236)","(-0.6176713873651041, -0.48523299948799054)","(0.732223171278301, 1.6998744064871032)","(-1.1815412456353922, 4.527305317706319)","(1.032570412789168, -0.46268207227615754)","(4.548241682438423, 2.025535118031227)",-30.0244,25.240818
4,568,09/04/2022 13:07,68.0,Pandora,4,1.0,Yes,1.0,No,0.0,No,0.0,Gospel,16,No,0,No,0.0,55.0,Very frequently,3,Never,0,Never,0,Sometimes,2,Very frequently,3,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,10.0,10.0,10.0,0.0,Improve,1.0,I understand.,1,1,0,1,3,2,2,3,1,1,0,2,1,0,1,2,0,0,"(-1.1996929161706074, -3.1875958431537073)","(2.344593236141633, -2.086942559770864)","(1.2600999983897347, 1.9679605619310834)","(-1.199692916170598, -3.187595843153734)","(2.3445932361416326, -2.086942559770864)","(1.2600999983897347, 1.9679605619310834)","(-0.7967593440433403, -3.251030082021294)","(2.7089635724848495, -0.7810127399808393)","(-1.5992808805918992, 1.3950080913577863)","(-0.8311131324325972, 4.317865350590152)","(-3.2055608471469483, -0.6642028271835204)","(0.972477819554128, 5.42718375803793)",-22.155313,28.90353
5,373,8/29/2022 15:05:22,18.0,Spotify,2,2.0,Yes,1.0,No,0.0,No,0.0,Hip hop,9,Yes,1,Yes,1.0,20.0,Rarely,1,Never,0,Rarely,1,Never,0,Rarely,1,Very frequently,3,Rarely,1,Very frequently,3,Sometimes,2,Never,0,Never,0,Sometimes,2,Very frequently,3,Very frequently,3,Never,0,Never,0,10.0,7.0,2.0,0.0,Improve,1.0,I understand.,2,1,0,0,0,0,0,3,3,1,3,3,2,1,3,3,1,3,"(0.18372084041293987, -3.1297541479510054)","(0.5973728353377548, -0.8415007918869323)","(0.4496138637718869, -2.3530290583526456)","(0.18372084041294667, -3.1297541479509894)","(0.5973728353377553, -0.8415007918869298)","(0.4496138637718869, -2.3530290583526456)","(0.40574432949887296, -3.098303408924101)","(0.8982254484572636, -0.4660816160401097)","(0.6815460076849067, -2.232409415536451)","(-2.514680926608469, 2.394595788537256)","(-1.282315487576504, -1.1950389117736577)","(1.7294485716609824, 3.6643772079960106)",5.285778,5.026401
6,422,8/30/2022 13:07:20,14.0,Spotify,2,5.0,Yes,1.0,Yes,1.0,No,0.0,Classical,12,Yes,1,Yes,1.0,40.0,Very frequently,3,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Very frequently,3,3.0,0.0,2.0,3.0,Improve,1.0,I understand.,2,0,3,0,2,1,0,2,2,3,1,1,2,3,2,0,1,1,"(0.9390629632037416, -2.409947024006267)","(-1.6503806400600562, 0.8880732796560952)","(-1.4174548284195425, -1.9664905685239467)","(0.9390629632037448, -2.4099470240062506)","(-1.6503806400600558, 0.8880732796560946)","(-1.4174548284195425, -1.9664905685239467)","(1.0083366918484715, -2.3308240826534092)","(-1.5167555293531787, 0.04886743333236583)","(1.697667988746083, -1.3482931148784183)","(-2.5296908809699428, 1.4631951613589198)","(2.0446792121794, 0.12488821494242558)","(3.1187578828692053, 1.7676230401382906)",-25.337883,-10.422909
7,215,8/28/2022 21:48:12,19.0,Spotify,2,6.0,Yes,1.0,No,0.0,No,0.0,Rock,2,Yes,1,Yes,1.0,52.0,Never,0,Never,0,Rarely,1,Very frequently,3,Never,0,Rarely,1,Rarely,1,Never,0,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Rarely,1,Sometimes,2,Very frequently,3,Rarely,1,4.0,2.0,0.0,0.0,Improve,1.0,I understand.,2,0,3,0,2,1,0,3,2,3,1,1,2,3,2,3,1,1,"(1.0435847840850798, -2.149110673982282)","(-1.8190007949604834, -0.05336510033639464)","(-1.5896257161097749, -1.4360634669848316)","(1.0435847840850823, -2.149110673982271)","(-1.819000794960483, -0.05336510033639385)","(-1.5896257161097749, -1.4360634669848316)","(1.0790771265743315, -2.064359689607039)","(-0.9786110583461047, -0.8360867573132839)","(1.5885820367480277, -0.8246235769211083)","(-2.2945366324883576, 1.1589806059024264)","(1.7091997673612311, -0.6915924462138393)","(3.0002288228294858, 1.0237729464743515)",-25.40393,-9.275271
8,59,8/28/2022 13:09:53,23.0,Spotify,2,7.0,Yes,1.0,No,0.0,No,0.0,Folk,14,Yes,1,Yes,1.0,55.0,Rarely,1,Very frequently,3,Never,0,Very frequently,3,Very frequently,3,Sometimes,2,Rarely,1,Never,0,Rarely,1,Never,0,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,6.0,4.0,2.0,3.0,Improve,1.0,I understand.,2,0,3,0,0,1,0,0,2,3,3,3,2,1,2,3,3,1,"(1.1721301655881118, -2.147790369520307)","(-0.32089366362300115, 0.4012676165344353)","(-0.14565038011698223, -1.0597149865323774)","(1.1721301655881136, -2.1477903695203002)","(-0.32089366362300087, 0.4012676165344358)","(-0.14565038011698223, -1.0597149865323774)","(1.191130480951772, -2.054198412489217)","(-0.4484147428692415, 0.20659699949870225)","(0.5259517823998013, -0.9049442778487534)","(-2.380466338912331, 1.0786042958908892)","(0.45366085188518196, 0.24822257840774017)","(1.5862300929311415, 2.0527522850780446)",1.4188803,1.337427
9,428,8/30/2022 17:33:13,31.0,I do not use a streaming service.,6,4.0,Yes,1.0,Yes,1.0,No,0.0,Classical,12,Yes,1,Yes,1.0,55.0,Very frequently,3,Rarely,1,Never,0,Rarely,1,Rarely,1,Never,0,Sometimes,2,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,8.0,8.0,9.0,3.0,Improve,1.0,I understand.,2,1,0,0,3,0,2,0,0,3,0,2,2,0,0,0,2,2,"(0.3222082252566407, -2.3320471630416226)","(1.860231414637517, -0.8418986127053704)","(1.610020195995187, -0.06697938096417197)","(0.32220822525664516, -2.332047163041621)","(1.860231414637517, -0.8418986127053711)","(1.610020195995187, -0.06697938096417197)","(0.46401670221087227, -2.295855762764323)","(1.6027814453962599, 0.08209244891363487)","(-0.9853882236445063, -0.5243902251871989)","(-1.6026379286745833, 1.7329230027843798)","(-2.2266731060198772, 0.19771661913944824)","(-0.4497035113279554, 3.20992355792282)",14.0819645,7.3101974
10,595,09/08/2022 15:06,18.0,Spotify,2,8.0,Yes,1.0,Yes,1.0,Yes,1.0,Gospel,16,Yes,1,Yes,1.0,56.0,Rarely,1,Never,0,Rarely,1,Never,0,Very frequently,3,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Very frequently,3,Never,0,Sometimes,2,Very frequently,3,Sometimes,2,Never,0,Sometimes,2,3.0,0.0,2.0,2.0,Improve,1.0,I understand.,2,0,3,0,2,1,0,1,2,3,1,1,2,3,2,0,2,2,"(1.5094101195149932, -2.000952331732377)","(-1.7942611903951504, 0.5871277334468554)","(-1.417615286462712, -1.098086287306777)","(1.5094101195149938, -2.000952331732367)","(-1.79426119039515, 0.587127733446855)","(-1.417615286462712, -1.098086287306777)","(1.4738944425067733, -1.8850246456177109)","(-1.3949096764535063, -0.2731038095353814)","(1.3418525309311122, -0.5722347893522642)","(-2.6886359957277937, 0.7911258579185866)","(2.0426687678996234, -0.22362665080045158)","(3.1156858335010185, 1.4602206605694776)",-25.858625,-10.239517
11,159,8/28/2022 18:57:39,41.0,YouTube Music,3,4.0,Yes,1.0,No,0.0,No,0.0,Pop,10,Yes,1,No,0.0,60.0,Rarely,1,Never,0,Sometimes,2,Very frequently,3,Never,0,Very frequently,3,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Very frequently,3,Very frequently,3,Sometimes,2,Very frequently,3,Rarely,1,7.0,2.0,0.0,7.0,Improve,1.0,I understand.,1,3,3,0,0,0,2,2,0,3,3,3,2,1,0,3,2,1,"(0.09001800156588738, -2.406491545239799)","(-0.20704908380639894, 2.0964065417813065)","(-0.49423071216481784, -0.9201245584143698)","(0.09001800156589229, -2.4064915452398057)","(-0.20704908380639853, 2.0964065417813074)","(-0.49423071216481784, -0.9201245584143698)","(0.26726702371236366, -2.3858365694839363)","(-1.5232228124760367, 1.7176055515146786)","(0.6880272096307785, -0.6796298921638106)","(-1.3749763013654006, 2.1743523757533127)","(1.1691808146722154, 1.9122218503135753)","(2.2624375033117836, 2.6195521962946042)",-9.691438,-8.462724
12,278,8/29/2022 1:54:06,20.0,I do not use a streaming service.,6,1.5,No,0.0,Yes,1.0,Yes,1.0,Video game music,3,No,0,Yes,1.0,60.0,Very frequently,3,Never,0,Never,0,Rarely,1,Rarely,1,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very frequently,3,8.0,4.0,3.0,3.0,Worsen,-1.0,I understand.,0,0,0,2,0,0,3,0,3,0,3,3,3,1,2,0,0,2,"(-1.6685420979689614, -1.6535945031351702)","(0.2327602500720826, 0.3240395489840022)","(0.09838557602648972, -1.7369541742875412)","(-1.668542097968961, -1.6535945031351593)","(0.2327602500720829, 0.32403954898400317)","(0.09838557602648972, -1.7369541742875412)","(-1.3261359041146117, -1.7585200495753937)","(-0.08778595963775053, 0.3804875605011676)","(0.6499995737212736, -1.58054123699126)","(1.5139274079544796, 2.4023683516866483)","(0.005517773729820101, 0.4979821415198927)","(1.1074531840778117, 1.895452617719071)",6.4808397,6.9702196
13,140,8/28/2022 18:03:50,25.0,Spotify,2,1.5,Yes,1.0,No,0.0,No,0.0,Pop,10,No,0,No,0.0,61.0,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Never,0,Rarely,1,Never,0,Never,0,Never,0,Rarely,1,Rarely,1,Very frequently,3,Very frequently,3,Rarely,1,Very frequently,3,Never,0,6.0,5.0,0.0,2.0,Improve,1.0,I understand.,2,0,0,0,0,0,0,1,3,1,3,1,2,1,2,2,2,3,"(-0.09311981090725377, -2.0039438460768877)","(-0.5845234501965391, 0.17982567651975476)","(-0.7636275764285901, -1.6157259594897952)","(-0.09311981090724807, -2.0039438460768806)","(-0.5845234501965388, 0.17982567651975612)","(-0.7636275764285901, -1.6157259594897952)","(0.07590856890082201, -1.9983143651989757)","(-0.4467396089631443, -0.09883823101584822)","(1.1425937348542106, -1.2234953609421677)","(-1.1686502174290687, 1.7073353952700745)","(0.6378976848671695, 0.0102432456058703)","(1.8544542362074616, 1.3609104426611232)",1.6419479,7.300213
